song_name,artist,mood,genre,url
Don't Stop Me Now,Queen,happy,rock,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7?si=68e5cf089f2a4387
Dancing Queen,ABBA,happy,pop,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr
Good Vibrations,The Beach Boys,happy,rock,https://open.spotify.com/track/7tf64lNC31lWlTsih0nfZf?si=d76e4c596e0d4255
Can't Stop the Feeling!,Justin Timberlake,happy,pop,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
Happy,Pharrell Williams,happy,hip-hop,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH?si=7b79de9eca184058
I Wanna Dance With Somebody,Whitney Houston,happy,pop,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj?si=e68cc1bb55a54302
Gives You Hell,The All American Rejects,happy,pop rock,https://open.spotify.com/track/5gb9UJkh8TfrNMRYOJNbew?si=56379579366f47f1
High on a Happy Vibe,Urban Cookie Collective,happy,eurodance,https://open.spotify.com/track/0gxYBPJZjtHhptH9abY9ry
Raising Hell (feat. Big Freedia),Kesha,happy,pop rock,https://open.spotify.com/track/3Ex5RFJRUdpHcDOLXJOVLy
Dynamite,BTS,happy,K pop,https://open.spotify.com/track/72IwoG8tqvIWV10IHjpNNA?si=76917ee0e34b4ec4
Kesariya,Arijit Singh,happy,Bollywood Pop,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ?si=d43104ea33f940e3
Chaleya,Arijit Singh,happy,Bollywood Pop,https://open.spotify.com/track/4nc6XiUze2Yh7wFueGOPv7?si=3424d33d90904ca7
Falling,Harry Styles,happy,rock,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
Jaani Tera Naa,Sunanda Sharma,happy,Punjabi Pop,https://open.spotify.com/track/6tkNEWu4xnu4iVSkjVU0Jo?si=6f3d3588b1c64603
Dilbar,Neha Kakkar & Dhvani Bhanushali,happy,Bollywood Pop,https://open.spotify.com/track/4tjLYTXFqZhkUDga4bQ0yl?si=c2282d445229440c
Love You Zindagi,Amit Trivedi,happy,Bollywood,https://open.spotify.com/track/6k3XXCE1ZzwevQlxf8dNaw?si=7b22cce839ac4536
I Feel Good,Vishal–Shekhar,happy,Pop,https://open.spotify.com/track/09sq0BHe85uV2ADUx1gaiA?si=4f07525b744242e9
